Title,Category,Description,Specifications,SKU,Original Price,Sale Price,Availability,URL,Images_URL,Gender
Sekonda Armstrong Moon Phase Men’s Watch | Rose Gold Alloy Case & Brown Leather Strap with Silver Dial | 30148,CLASSIC,"This watch has a round, ion-plated rose gold alloy case with a silver-white dial. The watch features a moon phase sub-dial which tracks the moon through a 29.5 day lunar cycle, printed moons and stars, tachymeter, a black minute track and day and date sub-dials. Fastened with an interchangeable dark brown, croco-grain leather upper strap and up to 50 metres water resistance.","Model 30148 
 Round, ion-plated rose gold alloy case 
 Silver-white dial 
 Moon Phase sub-dial tracking a 29.5 day lunar cycle with printed moons and stars 
 Tachymeter 
 Black minute track 
 Day & date sub-dials 
 50 metres water resistance 
 Interchangeable dark brown croco-grain leather upper strap 
 Minimum strap length: 157mm 
 Maximum strap length: 205mm 
 2 year guarantee",30148,79.99,,in_stock,https://www.sekonda.com/p/sekonda-armstrong-moon-phase-men-s-watch-rose-gold-alloy-case-brown-leather-strap-with-silver-dial-30148,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30148_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30148_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30148_close_up_white.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30148_wrist.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30148_right.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30148_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30148_front.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_1_113.jpg",Mens
Sekonda Men's Armstrong Watch,CLASSIC,,,sekondaw armstrong,69.99,,in_stock,https://www.sekonda.com/p/armstrong-moon-phase-mens-watch,,Mens
Sekonda 1978 Men's Watch | Silver Case & Black Leather Strap with Black Dial | 30098,HERITAGE,"This watch has a round, silver ion-plated alloy case with a black dial and domed crystal glass. The watch is fastened with an interchangeable black leather strap with white stitching and quick release spring bars. Features include tachymeter markings, luminous batons, a day/date display and up to 50 metres water resistance.","Model 30098 
Silver ion-plated alloy case 
Black dial
Domed crystal glass 
 Luminous batons 
Tachymeter markings 
A day/date display 
Interchangeable black leather strap with white stitching 
Quick release spring bars 
 
50 metres water resistance 
Min strap length: 163mm
Max strap length: 206mm 
2 year guarantee",30098,89.99,,in_stock,https://www.sekonda.com/p/sekonda-1978-men-s-watch-silver-case-black-leather-strap-with-black-dial-30098,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30098_front.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30098_LEFT.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30098_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30098_WRIST.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30098_BACK.jpg, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_8_6.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30098_front.png",Mens
Sekonda 1978 Men's Watch | Silver Case & Tan Leather Strap with Cream Dial | 30099,HERITAGE,"This watch has a round, silver ion-plated alloy case with a cream dial and domed crystal glass. The watch is fastened with an interchangeable tan leather strap with white stitching and quick release spring bars. Features include tachymeter markings, luminous batons, a day/date display and up to 50 metres water resistance.","Model 30099 
Silver ion-plated alloy case 
Cream dial
Domed crystal glass 
 Luminous batons 
Tachymeter markings 
A day/date display 
Interchangeable tan leather strap with white stitching 
Quick release spring bars 
 
50 metres water resistance 
Min strap length: 163mm
Max strap length: 206mm 
2 year guarantee",30099,89.99,,in_stock,https://www.sekonda.com/p/sekonda-1978-men-s-watch-silver-case-tan-leather-strap-with-cream-dial-30099,"https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30099_FRONT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30099_LEFT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30099_CLOSE UP.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30099_WRIST.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30099_BACK.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_30099_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_3_55.jpg",Mens
Sekonda Mens SS23 Heritage 1978 watches,CLASSIC,,,sekondaw Mens SS23 Heritage 1978 watches,89.99,,in_stock,https://www.sekonda.com/p/mens-ss23-heritage-1978-watches,,
Sekonda Midnight Men’s Watch | Silver Alloy Case & Stainless Steel Bracelet with Black Dial | 30204,SPORTS,"The watch has a round, ion-plated silver alloy case with a black dial featuring a chapter ring, luminous hour markers and a day/date display. Fastened with a stainless steel bracelet, the watch is also water resistant up to 50 metres.","Model 30204
 
Round, ion-plated silver alloy case 
 
Black dial with chapter ring 
Day/date display 
Luminous batons and hour markers 
 
50 metres water resistance 
 
Ion-plated silver stainless steel bracelet 
 
Minimum strap length: 150mm 
 
Maximum strap length: 207mm 
 
Strap width: 22mm 
 
2 year guarantee",30204,49.99,,in_stock,https://www.sekonda.com/p/sekonda-midnight-men-s-watch-silver-alloy-case-stainless-steel-bracelet-with-black-dial-30204,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30204_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30204_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30204_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30204_wrist.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30204_back.jpg, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_9_100.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30204_front.png",Mens
Sekonda Midnight Men's Watch | Black Alloy Case & Leather Strap with Blue Dial | 30205,SPORTS,"The watch has a round, ion-plated black alloy case with a blue dial featuring a chapter ring, luminous hour markers and a day/date display. Fastened with a croco grain leather upper strap, the watch is also water resistant up to 50 metres.","Model 30205
 
Round, ion-plated black alloy case 
 
Blue dial with chapter ring 
Day/date display 
Luminous batons and hour markers 
 
50 metres water resistance 
 
Black croco grain leather upper strap 
 
Minimum strap length: 155mm 
 
Maximum strap length: 205mm 
 
Strap width: 22mm 
 
2 year guarantee",30205,49.99,,in_stock,https://www.sekonda.com/p/sekonda-midnight-men-s-watch-black-alloy-case-leather-strap-with-blue-dial-30205,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30205_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30205_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30205_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30205_wrist.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30205_back.jpg, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_9_99.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30205_front.png",Mens
Men's Midnight,SPORTS,,,sekondaw Men's Midnight,49.99,,in_stock,https://www.sekonda.com/p/men-midnight,,Ladies
Sekonda Balearic Ladies Watch | Silver Alloy Case & Black Rubber Strap with Black Dial | 40563,DIVE,"The watch has a round, ion-plated silver alloy case with a fixed black and red bezel and a black dial. The watch is fastened with a black rubber strap and is water resistant up to 50 metres.","Model 40563
 Round, ion-plated silver alloy case 
 Fixed black and red bezel 
 Black dial 
 Black rubber strap 
 Min strap length: 147mm 
 Max strap length: 187mm 
 50 metres water resistance 
 2 year guarantee",40563,39.99,,in_stock,https://www.sekonda.com/p/sekonda-balearic-ladies-watch-silver-alloy-case-black-rubber-strap-with-black-dial-40563,"https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40563_FRONT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40563_LEFT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40563_CLOSE UP.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40563_WRIST.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40563_BACK.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40563_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_9_36.jpg",Ladies
Sekonda Balearic Ladies Watch | Silver Alloy Case & White Rubber Strap with Silver-White Dial | 40567,DIVE,"The watch has a round, ion-plated silver alloy case with a fixed silver and black bezel and a silver-white dial. The watch is fastened with a white rubber strap and is water resistant up to 50 metres.","Model 40567
 Round, ion-plated silver alloy case 
 Fixed silver and black bezel 
 Silver-white dial 
 White rubber strap 
 Min strap length: 145mm 
 Max strap length: 187mm 
 50 metres water resistance 
 2 year guarantee",40567,39.99,,in_stock,https://www.sekonda.com/p/sekonda-balearic-ladies-watch-silver-alloy-case-white-rubber-strap-with-silver-white-dial-40567,"https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40567_FRONT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40567_LEFT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40567_CLOSE UP.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40567_WRIST.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40567_BACK.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40567_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_8_49.jpg",Ladies
Sekonda Balearic Ladies Watch | Silver Alloy Case & Peach Rubber Strap with Peach Dial | 40568,DIVE,"The watch has a round, ion-plated silver alloy case with a fixed silver and peach bezel and a peach dial. The watch is fastened with a peach rubber strap and is water resistant up to 50 metres.","Model 40568
 Round, ion-plated silver alloy case 
 Fixed silver and peach bezel 
 Peach dial 
 Peach rubber strap 
 Min strap length: 145mm 
 Max strap length: 187mm 
 50 metres water resistance 
 2 year guarantee",40568,39.99,27.99,in_stock,https://www.sekonda.com/p/sekonda-balearic-ladies-watch-silver-alloy-case-peach-rubber-strap-with-peach-dial-40568,"https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40568_FRONT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40568_LEFT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40568_CLOSE UP.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40568_WRIST.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40568_BACK.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40568_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_9_83.jpg",Ladies
Sekonda Balearic Ladies Watch | Silver Alloy Case & Pink Rubber Strap with Pink Dial | 40569,DIVE,"The watch has a round, ion-plated silver alloy case with a fixed silver and pink bezel and a pink dial. The watch is fastened with a pink rubber strap and is water resistant up to 50 metres.","Model 40569
 Round, ion-plated silver alloy case 
 Fixed silver and pink bezel 
 Pink dial 
 Pink rubber strap 
 Min strap length: 145mm 
 Max strap length: 187mm 
 50 metres water resistance 
 2 year guarantee",40569,39.99,,in_stock,https://www.sekonda.com/p/sekonda-balearic-ladies-watch-silver-alloy-case-pink-rubber-strap-with-pink-dial-40569,"https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40569_FRONT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40569_LEFT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40569_CLOSE UP.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40569_WRIST.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40569_BACK.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40569_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_9_82.jpg",Ladies
Sekonda Balearic Ladies Watch | Silver Alloy Case & Blue Rubber Strap with Blue Dial | 40570,DIVE,"The watch has a round, ion-plated silver alloy case with a fixed silver and light blue bezel and a light blue dial. The watch is fastened with a light blue rubber strap and is water resistant up to 50 metres.","Model 40570
 Round, ion-plated silver alloy case 
 Fixed silver and light blue bezel 
 Light blue dial 
 Light blue rubber strap 
 Min strap length: 145mm 
 Max strap length: 187mm 
 50 metres water resistance 
 2 year guarantee",40570,39.99,,in_stock,https://www.sekonda.com/p/sekonda-balearic-ladies-watch-silver-alloy-case-blue-rubber-strap-with-blue-dial-40570,"https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40570_FRONT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40570_LEFT.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40570_CLOSE UP.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40570_WRIST.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40570_BACK.jpg, https://www.sekonda.com/static/media/catalog/product/1/2/SEKONDA_40570_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_9_4.jpg",Ladies
Sekonda Ladies SS23 Dive Balearic Rubber Strap Watches,DIVE,,,sekondaw ladies balearic rubber strap watches,39.99,27.99,in_stock,https://www.sekonda.com/p/ladies-ss23-dive-balearic-rubber-strap-watches,,
Sekonda Men's Watch | Silver Case & Stainless Steel Bracelet with Blue Dial | 1224,CLASSIC,"This watch features a round stainless steel case enclosing an eye-catching blue sunray dial with silver batons and a day/date display. Fitted with water resistance to 50m, the timepiece fastnens with a stainless steel bracelet that fits comfortably on the wrist.","Model 1224
Round stainless steel case
Blue dial
Date
Silver stainless steel bracelet
Water resistant to 50 Metres
2 year guarantee",1224,64.99,,in_stock,https://www.sekonda.com/p/sekonda-mens-classic-stainless-steel-bracelet-watch-174,"https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1224_FRONT.jpg, https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1224_LEFT-SIDE.jpg, https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1224_FRONT_CLOSE UP.jpg, https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1224_BACK.jpg, https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1224_BACK_BUCKLE.jpg, https://www.sekonda.com/static/media/catalog/product/i/m/SEKONDA_1224_FRONT.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_1_94.jpg",Mens
Men's Dial Bracelet Watch ,,,,sekondaw10014,64.99,,in_stock,https://www.sekonda.com/p/men-s-dial-bracelet-watch-sekondaw10014,,
Sekonda Jones Men’s Watch | Gold Stainless Steel Case & Bracelet | Silver Dial | 30154,CLASSIC,"The watch has a round, ion-plated gold stainless steel case with a silver sunray dial featuring a day/date display and 50 metres water resistance. Fastened with an ion-plated gold stainless steel bracelet.","Model 30154 
 
 Round, ion-plated gold stainless steel case 
 
 Silver sunray dial 
 
 Day/date display 
 
 50 metres water resistance 
 
 Ion-plated gold stainless steel bracelet 
 
 Minimum strap length: 140mm 
 
 Maximum strap length: 212mm 
 
 2 year guarantee",30154,74.99,,in_stock,https://www.sekonda.com/p/sekonda-jones-men-s-watch-gold-stainless-steel-case-bracelet-silver-dial-30154,"https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30154_front.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30154_left.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30154_close_up.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30154_wrist.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30154_right.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30154_back.jpg, https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_30154_front.png, https://www.sekonda.com/static/media/catalog/product/u/p/updated_packaging_image_-_sekonda_v2_1_8_4.jpg",Mens
Gold November Birthstone Necklace,,Style your watch. This gold plated stainless steel chain necklace features a gold plated alloy disc pendant and a yellow topaz coloured November birthstone crystal charm. Make your jewellery personal to you (it’s also a great gift!),"The length of the necklace is 40cm with a 5cm expander.
Gold plated stainless steel chain. 
Gold plated zinc alloy disc.
Yellow (yellow topaz) coloured crystal.
Lobster clasp.
Presented in a keepsake box.",SG48430,14.99,,in_stock,https://www.sekonda.com/p/gold-november-birthstone-necklace,https://www.sekonda.com/static/media/catalog/product/s/e/sekonda_jewellery_sg48430_lifestyle.jpg,Ladies
